lng,lat
34.75,31.5
34.765,32.0666
34.6559,31.7361
12.6,42.7833
11.6802,48.1404
34.8142,32.0806
34.8033,31.9264
34.7503,32.0231
35.23,31.78
34.9892,32.8156
34.8044,31.9642
34.7722,32.0114
34.6497,31.7921
34.8599,32.3329
34.9358,32.1817
34.8367,32.1658
34.8186,31.8969
-122.0574,37.4192
34.8883,32.1508
35.2758,32.7394
34.8579,32.055
34.8417,32.1472
34.9888,31.7496
34.8953,31.9514
34.9456,31.9987
34.8774,32.3813
34.8861,32.035
34.9196,32.4364
34.8669,31.9253
34.9719,32.7617
34.8722,32.0886
34.8145,31.3701
34.8876,32.2696
34.8228,32.2031
35.1064,32.8006
35.1845,32.1065
34.8386,31.8539
34.9856,31.9339
35.2,31.9
35.0089,32.2662
35,32.4667
34.7642,31.61
34.8889,32.1661
34.8922,32.4921
34.9344,31.9683
35.1756,32.5747
35.0941,33.0059
35.1309,31.8275
35.1372,32.9347
34.945,32.5232
23.3333,42.7
35.3484,33.0171
-121.9621,37.5497
-122.1215,47.674
34.7208,31.8156
34.9209,32.5064
35.1093,32.4825
34.9395,31.3264
34.8778,32.0531
28.8575,47.0056
35.2933,32.8622
22.95,39.05
34.7561,31.7444
35.2406,32.6714
-122.0322,37.323
-90.5199,14.6328
-4.4998,36.6203
34.8397,32.0903
-73.9826,40.7391
35.25,32
35.2833,47.85
-0.0955,51.5092
34.9482,29.558
35.4212,32.6866
39.7139,47.2364
-97.822,37.751
34.7667,32.0667
37.6068,55.7386
28.9684,41.0214
-58.3817,-34.6033
34.935,32.2464
-121.4591,37.6201
-0.1224,51.4964
18.4232,-33.9258
-3.7026,40.4165
28.8128,47.0188
-70.6167,-33.4333
34.8458,32.0311
34.7863,31.2516
34.8672,32.1808
34.9131,32.2982
35.1477,32.7623
-119.5194,36.6266
-122.6827,45.5332
35.2544,32.2211
-91.1546,30.4507
9.9464,47.0713
8,47
55.6,-21.1
-87.6517,41.8483
35.0333,31.0667
34.8011,30.6094
34.994,32.3493
35.3379,32.6407
34.8106,32.0192
35.0753,32.8364
4.9167,52.35
35.5513,32.6211
35.3042,32.9172
126.9741,37.5112
100.4667,13.75
-78.3875,36.6676
-77.4728,39.0481
116.3883,39.9289
-74.2846,40.5576
30.5167,50.4333
34.6203,31.3141
35.2,31.7167
34.7066,31.7874
34.78,31.8146
34.9105,32.2827
-117.1324,32.8073
35.2569,32.8611
-73.945,40.6451
9.491,51.2993
13.4138,52.5233
25.4667,65.0167
35.1797,32.7006
34.9833,32.8
-121.8914,37.3388
-71.1028,42.3646
-106.3131,42.8666
2.3387,48.8582
-1.25,51.75
-6.2595,53.3389
37.6184,55.7485
